gender,age,time_of_day,date
0,55,9,0801
0,44,9,0801
0,25,9,0801
0,28,9,0801
0,30,9,0801
0,46,9,0801
0,36,9,0801
0,31,9,0801
0,30,9,0801
0,48,9,0801
0,22,9,0801
0,30,9,0801
0,27,9,0801
0,45,9,0801
0,36,9,0801
0,26,9,0801
0,53,9,0801
0,48,9,0801
0,36,9,0801
0,26,9,0801
0,66,9,0801
0,22,9,0801
0,34,9,0801
0,30,9,0801
0,25,9,0801
0,36,9,0801
0,42,9,0801
0,37,9,0801
0,38,9,0801
0,51,9,0801
0,44,9,0801
0,38,9,0801
0,40,9,0801
0,29,9,0801
0,36,9,0801
0,31,9,0801
0,47,9,0801
0,26,9,0801
0,35,9,0801
0,25,9,0801
0,50,9,0801
0,56,9,0801
0,40,9,0801
0,51,9,0801
0,33,9,0801
0,43,9,0801
0,47,9,0801
0,36,9,0801
0,40,9,0801
0,34,9,0801
0,47,9,0801
0,31,9,0801
0,27,9,0801
0,40,9,0801
0,32,9,0801
0,40,10,0801
0,31,10,0801
0,35,10,0801
0,48,10,0801
0,28,10,0801
0,47,10,0801
0,25,10,0801
0,45,10,0801
0,45,10,0801
0,35,10,0801
0,27,10,0801
0,59,10,0801
0,34,10,0801
0,34,10,0801
0,51,10,0801
0,37,10,0801
0,42,10,0801
0,44,10,0801
0,29,10,0801
0,51,10,0801
0,53,10,0801
0,27,10,0801
0,31,10,0801
0,43,10,0801
0,33,10,0801
0,47,10,0801
0,59,10,0801
0,33,10,0801
0,33,10,0801
0,35,10,0801
0,43,10,0801
0,56,10,0801
0,32,10,0801
0,44,10,0801
0,64,10,0801
0,31,10,0801
0,25,10,0801
0,48,10,0801
0,22,10,0801
0,42,11,0801
0,50,11,0801
0,36,10,0801
0,25,11,0801
0,42,11,0801
0,30,11,0801
0,59,11,0801
0,41,11,0801
0,31,11,0801
0,25,11,0801
0,67,11,0801
0,46,11,0801
0,59,11,0801
0,48,11,0801
0,37,11,0801
0,24,11,0801
0,45,11,0801
0,44,11,0801
0,59,11,0801
0,39,11,0801
0,45,11,0801
0,53,11,0801
0,32,11,0801
0,27,11,0801
0,38,11,0801
0,28,11,0801
0,55,11,0801
0,31,11,0801
0,35,11,0801
0,26,11,0801
0,32,11,0801
0,43,11,0801
0,27,11,0801
0,32,11,0801
0,31,11,0801
0,43,11,0801
0,31,11,0801
0,25,11,0801
0,62,11,0801
0,37,11,0801
0,56,11,0801
0,30,11,0801
0,53,11,0801
0,35,12,0801
0,75,12,0801
0,33,12,0801
0,28,12,0801
0,58,11,0801
0,26,12,0801
0,37,12,0801
0,26,12,0801
0,58,12,0801
0,33,12,0801
0,36,12,0801
0,24,12,0801
0,49,12,0801
0,38,12,0801
0,27,12,0801
0,36,12,0801
0,40,12,0801
0,26,12,0801
0,50,12,0801
0,31,12,0801
0,45,12,0801
0,34,12,0801
0,51,12,0801
0,31,12,0801
0,36,12,0801
0,31,12,0801
0,28,12,0801
0,26,12,0801
0,54,12,0801
0,52,12,0801
0,40,12,0801
0,38,12,0801
0,39,12,0801
0,30,12,0801
0,29,12,0801
0,32,12,0801
0,28,12,0801
0,39,12,0801
0,25,12,0801
0,30,12,0801
0,50,12,0801
0,34,12,0801
0,46,12,0801
0,58,12,0801
0,59,12,0801
0,52,12,0801
0,33,12,0801
0,47,12,0801
0,32,12,0801
0,36,12,0801
0,59,12,0801
0,36,12,0801
0,64,12,0801
0,38,12,0801
0,45,12,0801
0,40,12,0801
0,25,12,0801
0,29,12,0801
0,36,12,0801
0,26,12,0801
0,44,12,0801
0,53,12,0801
0,40,12,0801
0,31,12,0801
0,46,12,0801
0,41,12,0801
0,51,12,0801
0,26,12,0801
0,38,12,0801
0,49,12,0801
0,32,12,0801
0,27,12,0801
0,59,12,0801
0,23,12,0801
0,29,12,0801
0,33,12,0801
0,32,13,0801
0,53,13,0801
0,50,13,0801
0,52,13,0801
0,41,13,0801
0,25,13,0801
0,38,13,0801
0,57,13,0801
0,40,13,0801
0,41,13,0801
0,36,13,0801
0,58,13,0801
0,64,13,0801
0,40,13,0801
0,43,13,0801
0,44,13,0801
0,41,13,0801
0,31,13,0801
0,57,13,0801
0,48,13,0801
0,43,13,0801
0,38,13,0801
0,55,13,0801
0,26,13,0801
0,27,13,0801
0,41,13,0801
0,32,13,0801
0,30,13,0801
0,30,13,0801
0,34,13,0801
0,39,13,0801
0,45,13,0801
0,25,13,0801
0,38,13,0801
0,38,13,0801
0,27,13,0801
0,59,13,0801
0,32,13,0801
0,59,13,0801
0,60,13,0801
0,33,13,0801
0,44,13,0801
0,30,14,0801
0,30,14,0801
0,46,14,0801
0,30,14,0801
0,42,14,0801
0,47,14,0801
0,33,14,0801
0,41,14,0801
0,25,14,0801
0,44,14,0801
0,54,14,0801
0,51,14,0801
0,48,14,0801
0,46,14,0801
0,27,14,0801
0,38,14,0801
0,58,14,0801
0,57,14,0801
0,44,14,0801
0,51,14,0801
0,41,14,0801
0,40,14,0801
0,55,14,0801
0,31,14,0801
0,51,14,0801
0,29,14,0801
0,37,14,0801
0,29,14,0801
0,34,14,0801
0,56,14,0801
0,36,14,0801
0,45,14,0801
0,28,14,0801
0,55,14,0801
0,30,14,0801
0,31,14,0801
0,27,15,0801
0,55,15,0801
0,64,15,0801
0,41,15,0801
0,56,15,0801
0,25,15,0801
0,33,15,0801
0,47,15,0801
0,32,15,0801
0,47,15,0801
0,40,15,0801
0,51,15,0801
0,35,15,0801
0,55,15,0801
0,61,15,0801
0,31,15,0801
0,35,15,0801
0,51,15,0801
0,28,15,0801
0,38,15,0801
0,64,15,0801
0,33,15,0801
0,30,15,0801
0,26,15,0801
0,30,15,0801
0,43,15,0801
0,47,15,0801
0,33,15,0801
0,27,15,0801
0,37,15,0801
0,52,15,0801
0,31,15,0801
0,43,15,0801
0,52,15,0801
0,50,15,0801
0,27,15,0801
0,48,15,0801
0,33,15,0801
0,30,15,0801
0,28,15,0801
0,41,15,0801
0,51,15,0801
0,35,15,0801
0,47,15,0801
0,32,16,0801
0,41,16,0801
0,56,16,0801
0,65,16,0801
0,28,16,0801
0,46,16,0801
0,40,16,0801
0,29,16,0801
0,48,16,0801
0,40,16,0801
0,36,16,0801
0,24,16,0801
0,40,16,0801
0,30,16,0801
0,41,16,0801
0,51,16,0801
0,37,16,0801
0,27,16,0801
0,26,16,0801
0,29,16,0801
0,35,16,0801
0,27,16,0801
0,23,16,0801
0,59,16,0801
0,25,16,0801
0,28,16,0801
0,58,16,0801
0,40,16,0801
0,53,16,0801
0,32,16,0801
0,28,16,0801
0,36,16,0801
0,29,16,0801
