station_id,latitude,longitude
177,41.92627700,-87.63083400
178,41.85659400,-87.62754200
179,41.82256000,-87.61615000
181,41.89074900,-87.63206000
183,41.89971400,-87.67723400
184,41.83104000,-87.62688000
185,41.91774100,-87.69139200
186,41.89179500,-87.65875100
188,41.92533000,-87.66580000
190,41.92888000,-87.66317000
191,41.88070000,-87.63947000
192,41.87923000,-87.64001500
193,41.84170700,-87.62693800
194,41.88715500,-87.62775000
195,41.88530000,-87.62077000
196,41.88987500,-87.62199400
197,41.88213400,-87.62512500
198,41.88175000,-87.64780000
199,41.89173800,-87.62693700
200,41.80985100,-87.61627900
201,41.82168000,-87.62160000
202,41.85749900,-87.64627700
203,41.85394000,-87.68524300
204,41.79510000,-87.61936000
205,41.85790100,-87.66874500
206,41.84720300,-87.64679500
207,41.84358000,-87.64536800
208,41.85381000,-87.66589700
209,41.84952700,-87.64059100
210,41.90345600,-87.66777000
211,41.89444800,-87.62266300
212,41.89223800,-87.63398500
213,41.91065200,-87.68240000
214,41.89122000,-87.67686000
215,41.88137000,-87.67493000
216,41.90302900,-87.69747400
217,41.88677300,-87.65600100
218,41.85680200,-87.63387900
219,41.91602700,-87.67741100
220,41.93262000,-87.64238500
222,41.92019500,-87.69303300
223,41.91821600,-87.65693600
224,41.91377800,-87.64884000
225,41.91993600,-87.64883000
226,41.93974300,-87.65886500
227,41.94815000,-87.66394000
228,41.94060000,-87.67850000
229,41.94373900,-87.66402000
230,41.94334000,-87.67097000
231,41.96167000,-87.65464000
232,41.94783600,-87.64541600
233,41.88300400,-87.65114800
234,41.96158800,-87.66603600
236,41.90757600,-87.63851700
237,41.84205200,-87.61700000
238,41.96162600,-87.67410100
239,41.96655500,-87.68848700
240,41.95434000,-87.65460100
241,41.87173700,-87.65103000
242,41.96709400,-87.67902800
243,41.96239100,-87.68414600
244,41.95469000,-87.67393000
245,41.96100400,-87.64960300
246,41.95606100,-87.66886900
247,41.79521200,-87.58071500
248,41.79526400,-87.59647100
249,41.96398200,-87.63818100
250,41.93608300,-87.66980700
251,41.96796800,-87.65000100
252,41.80983500,-87.59938300
253,41.96887300,-87.65885700
254,41.95438300,-87.64804300
255,41.86788800,-87.62304100
256,41.95283300,-87.64999300
257,41.94911000,-87.67511200
258,41.93058400,-87.68512600
259,41.91855000,-87.69723000
260,41.92956700,-87.70785700
261,41.87151400,-87.66988600
262,41.82707100,-87.64580100
263,41.83620800,-87.61353300
264,41.88686100,-87.62269400
265,41.82298500,-87.60710000
267,41.80944300,-87.59187500
268,41.91172200,-87.62680400
271,41.81649900,-87.60658200
272,41.83884200,-87.62185700
273,41.85793700,-87.62363300
274,41.86126700,-87.65662500
275,41.86523400,-87.66650700
276,41.91044000,-87.69720000
277,41.89107200,-87.66661100
278,41.83062900,-87.64129000
279,41.83066100,-87.64717200
280,41.83780000,-87.65114000
281,41.84847000,-87.68510900
282,41.86458000,-87.64693000
283,41.87817000,-87.63198500
284,41.87785000,-87.62408000
285,41.89113000,-87.67203000
286,41.87872400,-87.63479300
287,41.88113100,-87.63518500
288,41.91797000,-87.64368000
289,41.91220200,-87.63466400
290,41.92152500,-87.70732200
291,41.90672400,-87.63483000
292,41.95708100,-87.66419900
293,41.96528700,-87.65877400
294,41.97835300,-87.65975300
295,41.97297200,-87.65963700
296,41.94010600,-87.64545100
297,41.96150700,-87.67138700
298,41.95592700,-87.67925900
299,41.94366200,-87.64891700
300,41.93773900,-87.64409400
301,41.90799300,-87.63150100
302,41.92871200,-87.65383300
303,41.94551200,-87.64598000
304,41.94933300,-87.64963400
305,41.90289300,-87.68727500
306,41.95840000,-87.65423000
307,41.92100400,-87.66325700
308,41.94340300,-87.67961800
309,41.91780500,-87.68243700
310,41.92008200,-87.67785500
311,41.96583000,-87.68651000
312,41.95787900,-87.64951900
313,41.92585800,-87.63897300
314,41.95792100,-87.67356700
315,41.90671700,-87.68277900
316,41.96325000,-87.67925800
317,41.86915400,-87.67104500
318,41.95417700,-87.66435800
319,41.93259500,-87.66593900
320,41.87218700,-87.66150100
321,41.87196200,-87.62610600
322,41.79956800,-87.59474700
323,41.96951700,-87.65469100
