gender,age,month,dow,hod,station_id,distance,duration,speed
0,5,1,1,4,34,0,1,0
1,2,0,5,5,34,0,0,0
0,3,1,2,5,34,0,0,0
1,4,1,4,5,34,0,1,0
0,4,2,6,4,34,0,3,0
1,2,1,6,2,34,0,1,0
0,1,1,6,5,34,0,1,0
0,2,2,4,6,34,0,0,0
0,1,1,0,4,34,0,3,0
0,1,2,0,6,34,0,0,0
0,1,1,6,4,34,0,2,0
0,2,2,0,3,34,0,3,0
0,2,2,0,3,34,0,3,0
1,2,2,0,2,34,0,2,0
0,2,2,0,3,34,0,4,0
1,1,2,0,5,34,0,0,0
0,1,2,3,3,34,0,0,0
1,2,2,6,6,34,0,2,0
0,2,1,4,6,34,0,0,0
1,2,2,0,5,34,0,2,0
0,1,1,6,2,34,0,0,0
0,2,1,6,5,34,0,2,0
0,1,1,0,5,34,0,1,0
0,5,1,0,3,34,0,0,0
0,1,1,0,5,34,0,2,0
0,2,1,0,6,34,0,0,0
0,1,1,2,4,34,0,1,0
1,4,2,2,5,35,4,3,3
0,4,2,2,2,35,4,1,5
1,1,2,5,3,35,4,1,6
0,3,2,6,3,35,4,2,4
1,1,2,4,7,35,4,1,5
0,1,2,0,3,35,4,2,4
1,1,2,1,7,35,4,2,5
0,2,1,3,3,36,4,3,3
0,2,1,4,3,36,4,3,4
0,2,1,2,3,36,4,3,4
0,1,1,5,5,36,4,3,3
0,3,2,6,5,37,4,2,4
1,2,1,2,3,37,4,3,3
1,1,1,2,3,37,4,3,3
0,3,2,0,6,43,4,2,5
1,3,2,0,6,43,4,2,5
0,4,1,1,6,43,4,2,5
0,3,1,0,5,44,4,2,4
0,1,2,4,2,44,4,2,4
0,1,2,5,3,44,4,2,4
0,2,1,3,6,44,4,2,4
1,2,1,6,5,46,3,2,2
0,5,1,1,4,46,3,1,3
0,2,1,2,6,46,3,1,3
0,2,1,2,6,46,3,2,3
0,2,1,5,4,46,3,1,3
0,3,1,1,6,46,3,1,3
0,1,1,0,7,47,3,1,5
0,1,1,4,3,47,3,2,4
0,1,2,4,2,47,3,1,5
0,2,1,5,5,47,3,2,3
1,3,2,6,3,48,3,2,3
1,3,2,4,6,48,3,2,3
0,2,2,0,4,48,3,1,5
0,1,2,1,4,49,4,4,1
1,2,2,3,2,50,4,2,5
0,1,2,2,3,51,4,2,4
0,2,1,3,6,51,4,2,4
0,2,2,4,6,51,4,2,4
0,2,1,3,6,51,4,2,3
0,3,2,5,3,51,4,1,5
0,2,1,4,6,51,4,2,4
0,2,2,1,6,51,4,2,3
0,2,1,4,5,51,4,2,4
0,2,2,3,6,51,4,2,4
0,2,1,1,3,51,4,1,5
0,2,2,4,6,51,4,1,5
0,2,1,1,6,51,4,2,3
0,2,2,3,6,51,4,2,4
0,2,1,1,6,51,4,2,3
0,2,2,3,6,51,4,2,4
0,2,2,1,6,51,4,2,4
0,2,2,4,6,51,4,2,4
0,2,1,1,6,51,4,2,4
0,2,2,1,6,51,4,2,4
0,2,1,1,6,51,4,2,4
0,2,2,1,6,51,4,2,4
0,2,1,4,6,51,4,2,4
0,2,2,4,6,51,4,2,4
1,1,0,5,3,52,4,4,1
0,1,1,3,7,52,4,1,6
1,1,2,4,6,52,4,2,5
0,3,1,2,2,52,4,2,6
1,2,1,5,4,52,4,2,5
0,1,2,0,4,52,4,2,5
1,2,2,6,4,52,4,2,5
0,1,1,0,3,52,4,3,4
0,1,2,0,6,52,4,2,5
0,2,1,3,2,52,4,2,5
0,1,2,6,7,52,4,2,5
0,3,1,3,5,53,3,2,3
1,2,1,4,5,53,3,2,3
0,2,1,6,4,53,3,2,3
1,1,1,5,5,53,3,2,4
0,2,2,6,4,53,3,1,4
1,2,2,6,4,53,3,1,4
0,3,1,6,7,53,3,2,3
0,3,2,0,3,56,4,2,3
0,3,1,6,4,56,4,2,4
0,3,1,3,6,56,4,1,5
0,2,2,0,0,57,5,3,4
0,2,1,3,5,58,3,5,1
0,2,0,5,4,58,3,2,3
0,5,1,6,2,60,2,1,4
0,2,1,5,5,60,2,2,2
0,2,2,0,5,60,2,1,3
1,1,1,5,6,60,2,1,3
0,1,2,6,5,60,2,2,3
0,2,2,5,5,60,2,1,4
0,1,2,1,4,60,2,1,3
1,2,1,4,3,61,4,3,3
0,1,0,6,3,61,4,4,1
1,2,1,5,3,66,4,2,4
0,3,1,1,3,66,4,3,3
0,5,2,3,6,66,4,2,4
1,1,1,3,2,67,2,0,6
0,2,2,0,5,67,2,0,6
0,1,1,3,0,67,2,1,4
0,1,2,1,5,67,2,0,6
0,2,1,3,7,67,2,1,3
0,3,1,6,5,67,2,1,3
0,2,0,0,3,67,2,0,6
0,2,1,4,6,67,2,0,5
0,1,1,4,6,67,2,0,6
0,2,1,0,3,67,2,0,6
0,3,1,1,0,67,2,1,5
0,1,1,1,6,67,2,0,5
0,2,1,6,4,67,2,0,5
0,1,1,6,5,67,2,1,3
0,0,1,6,6,67,2,0,6
0,2,2,4,4,67,2,3,1
0,2,1,1,3,67,2,0,6
1,1,1,1,2,67,2,0,6
1,1,1,4,2,67,2,0,6
1,3,1,2,7,67,2,1,4
1,1,1,5,2,67,2,0,6
1,2,1,3,2,67,2,0,6
